Date,Sun,Mercury,Venus,Mars,Jupiter,Saturn,MeanNode,SouthNode
1/1/2016 0:00,255.9989,275.2995,218.0745,184.573,149.1713,227.1593,151.6256,331.6256
1/1/2016 12:00,256.5085,275.6464,218.6814,184.8507,149.1824,227.2136,151.5991,331.5991
1/2/2016 0:00,257.018,275.9598,219.2886,185.1281,149.1927,227.2677,151.5726,331.5726
1/2/2016 12:00,257.5276,276.2378,219.896,185.4051,149.2022,227.3217,151.5461,331.5461
1/3/2016 0:00,258.0373,276.4785,220.5037,185.6817,149.2109,227.3756,151.5196,331.5196
1/3/2016 12:00,258.5469,276.6801,221.1117,185.9581,149.2189,227.4293,151.4931,331.4931
1/4/2016 0:00,259.0566,276.8407,221.7199,186.234,149.226,227.4828,151.4666,331.4666
1/4/2016 12:00,259.5663,276.9586,222.3283,186.5096,149.2323,227.5361,151.44,331.44
1/5/2016 0:00,260.076,277.0321,222.9369,186.7848,149.2379,227.5893,151.4136,331.4136
1/5/2016 12:00,260.5857,277.0597,223.5458,187.0597,149.2426,227.6424,151.3871,331.3871
1/6/2016 0:00,261.0954,277.0403,224.1549,187.3341,149.2465,227.6952,151.3606,331.3606
1/6/2016 12:00,261.6052,276.9726,224.7642,187.6082,149.2496,227.7479,151.3341,331.3341
1/7/2016 0:00,262.1149,276.8559,225.3738,187.8819,149.2519,227.8004,151.3076,331.3076
1/7/2016 12:00,262.6247,276.6898,225.9835,188.1552,149.2534,227.8527,151.2811,331.2811
1/8/2016 0:00,263.1345,276.4741,226.5934,188.4281,149.2541,227.9048,151.2546,331.2546
1/8/2016 12:00,263.6442,276.2093,227.2036,188.7007,149.254,227.9568,151.2281,331.2281
1/9/2016 0:00,264.154,275.896,227.8139,188.9728,149.2531,228.0085,151.2016,331.2016
1/9/2016 12:00,264.6638,275.5355,228.4244,189.2444,149.2514,228.0601,151.1752,331.1752
1/10/2016 0:00,265.1735,275.1295,229.0351,189.5157,149.2488,228.1114,151.1487,331.1487
1/10/2016 12:00,265.6832,274.6804,229.646,189.7866,149.2455,228.1626,151.1222,331.1222
1/11/2016 0:00,266.1929,274.1909,230.257,190.057,149.2413,228.2136,151.0957,331.0957
1/11/2016 12:00,266.7026,273.6642,230.8682,190.327,149.2363,228.2643,151.0692,331.0692
1/12/2016 0:00,267.2123,273.1042,231.4796,190.5965,149.2305,228.3149,151.0427,331.0427
1/12/2016 12:00,267.7219,272.5151,232.0911,190.8656,149.2239,228.3652,151.0162,331.0162
1/13/2016 0:00,268.2315,271.9013,232.7028,191.1343,149.2165,228.4153,150.9897,330.9897
1/13/2016 12:00,268.741,271.2679,233.3146,191.4025,149.2083,228.4652,150.9632,330.9632
1/14/2016 0:00,269.2505,270.6198,233.9265,191.6702,149.1993,228.5149,150.9367,330.9367
1/14/2016 12:00,269.76,269.9624,234.5386,191.9375,149.1894,228.5644,150.9102,330.9102
