Date,Sun,Mercury,Venus,Mars,Jupiter,Saturn,MeanNode,SouthNode
Jan 1 2022 0:00 am,256.4656,274.1195,269.2313,229.0357,306.4825,287.8393,35.4671,215.4671
Jan 1 2022 4:00 am,256.6355,274.3563,269.1499,229.1542,306.5151,287.8574,35.4583,215.4583
Jan 1 2022 8:00 am,256.8055,274.592,269.0676,229.2727,306.5477,287.8754,35.4495,215.4495
Jan 1 2022 12:00 pm,256.9754,274.8268,268.9846,229.3913,306.5804,287.8935,35.4407,215.4407
Jan 1 2022 4:00 pm,257.1453,275.0606,268.9008,229.5098,306.6131,287.9116,35.4318,215.4318
Jan 1 2022 8:00 pm,257.3153,275.2933,268.8163,229.6284,306.6459,287.9297,35.423,215.423
Jan 2 2022 0:00 am,257.4852,275.5249,268.7309,229.7469,306.6787,287.9478,35.4142,215.4142
Jan 2 2022 4:00 am,257.6552,275.7553,268.6449,229.8655,306.7115,287.966,35.4054,215.4054
Jan 2 2022 8:00 am,257.8251,275.9846,268.5581,229.9841,306.7444,287.9841,35.3966,215.3966
Jan 2 2022 12:00 pm,257.995,276.2127,268.4706,230.1028,306.7773,288.0023,35.3877,215.3877
Jan 2 2022 4:00 pm,258.165,276.4396,268.3824,230.2214,306.8103,288.0205,35.3789,215.3789
Jan 2 2022 8:00 pm,258.3349,276.6652,268.2935,230.3401,306.8433,288.0387,35.3701,215.3701
Jan 3 2022 0:00 am,258.5049,276.8895,268.2039,230.4588,306.8764,288.057,35.3613,215.3613
Jan 3 2022 4:00 am,258.6748,277.1125,268.1137,230.5775,306.9095,288.0752,35.3524,215.3524
Jan 3 2022 8:00 am,258.8448,277.3341,268.0229,230.6962,306.9426,288.0935,35.3436,215.3436
Jan 3 2022 12:00 pm,259.0147,277.5543,267.9314,230.8149,306.9758,288.1118,35.3348,215.3348
Jan 3 2022 4:00 pm,259.1847,277.773,267.8393,230.9337,307.009,288.1301,35.326,215.326
Jan 3 2022 8:00 pm,259.3546,277.9902,267.7467,231.0524,307.0423,288.1484,35.3171,215.3171
Jan 4 2022 0:00 am,259.5245,278.2059,267.6534,231.1712,307.0756,288.1668,35.3083,215.3083
Jan 4 2022 4:00 am,259.6945,278.4199,267.5596,231.29,307.1089,288.1851,35.2995,215.2995
Jan 4 2022 8:00 am,259.8644,278.6324,267.4653,231.4088,307.1423,288.2035,35.2906,215.2906
Jan 4 2022 12:00 pm,260.0343,278.8432,267.3704,231.5276,307.1757,288.2219,35.2818,215.2818
Jan 4 2022 4:00 pm,260.2043,279.0523,267.275,231.6465,307.2092,288.2403,35.273,215.273
Jan 4 2022 8:00 pm,260.3742,279.2596,267.1791,231.7653,307.2427,288.2587,35.2642,215.2642
Jan 5 2022 0:00 am,260.5441,279.4651,267.0828,231.8842,307.2762,288.2772,35.2553,215.2553
Jan 5 2022 4:00 am,260.7141,279.6687,266.9859,232.0031,307.3098,288.2956,35.2465,215.2465
Jan 5 2022 8:00 am,260.884,279.8704,266.8887,232.122,307.3434,288.3141,35.2377,215.2377
Jan 5 2022 12:00 pm,261.0539,280.0702,266.791,232.2409,307.3771,288.3326,35.2288,215.2288
Jan 5 2022 4:00 pm,261.2238,280.268,266.6929,232.3599,307.4108,288.3511,35.22,215.22
Jan 5 2022 8:00 pm,261.3938,280.4637,266.5945,232.4788,307.4445,288.3696,35.2112,215.2112
Jan 6 2022 0:00 am,261.5637,280.6573,266.4956,232.5978,307.4783,288.3882,35.2023,215.2023
Jan 6 2022 4:00 am,261.7336,280.8487,266.3964,232.7168,307.5121,288.4067,35.1935,215.1935
Jan 6 2022 8:00 am,261.9035,281.0379,266.2969,232.8358,307.546,288.4253,35.1847,215.1847
Jan 6 2022 12:00 pm,262.0734,281.2248,266.1971,232.9548,307.5799,288.4439,35.1758,215.1758
Jan 6 2022 4:00 pm,262.2433,281.4094,266.097,233.0739,307.6138,288.4625,35.167,215.167
Jan 6 2022 8:00 pm,262.4132,281.5916,265.9966,233.1929,307.6478,288.4811,35.1582,215.1582
Jan 7 2022 0:00 am,262.5831,281.7714,265.8959,233.312,307.6818,288.4997,35.1493,215.1493
Jan 7 2022 4:00 am,262.753,281.9486,265.795,233.4311,307.7158,288.5184,35.1405,215.1405
Jan 7 2022 8:00 am,262.9229,282.1233,265.6939,233.5502,307.7499,288.537,35.1317,215.1317
Jan 7 2022 12:00 pm,263.0928,282.2954,265.5926,233.6693,307.7841,288.5557,35.1228,215.1228
Jan 7 2022 4:00 pm,263.2627,282.4647,265.4911,233.7884,307.8182,288.5744,35.114,215.114
Jan 7 2022 8:00 pm,263.4325,282.6313,265.3895,233.9076,307.8524,288.5931,35.1051,215.1051
Jan 8 2022 0:00 am,263.6024,282.7951,265.2877,234.0268,307.8866,288.6118,35.0963,215.0963
Jan 8 2022 4:00 am,263.7723,282.9561,265.1858,234.1459,307.9209,288.6305,35.0875,215.0875
