Date,Sun,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Mean Node,South Node
Jan 1 2022 0:00 am,280.5291,298.183,293.2948,253.0992,330.546,311.9028,40.9527,350.6691,295.9346,59.5306,239.5306
Jan 1 2022 4:00 am,280.699,298.4197,293.2133,253.2177,330.5786,311.9208,40.9502,350.672,295.9399,59.5218,239.5218
Jan 1 2022 8:00 am,280.869,298.6555,293.1311,253.3362,330.6112,311.9389,40.9478,350.6749,295.9453,59.513,239.513
Jan 1 2022 12:00 pm,281.0389,298.8903,293.0481,253.4548,330.6439,311.957,40.9453,350.6778,295.9507,59.5042,239.5042
Jan 1 2022 4:00 pm,281.2089,299.1241,292.9643,253.5733,330.6766,311.9751,40.9429,350.6808,295.956,59.4954,239.4954
Jan 1 2022 8:00 pm,281.3788,299.3568,292.8798,253.6919,330.7094,311.9932,40.9405,350.6837,295.9614,59.4866,239.4866
Jan 2 2022 0:00 am,281.5488,299.5884,292.7945,253.8105,330.7422,312.0114,40.9381,350.6867,295.9668,59.4777,239.4777
Jan 2 2022 4:00 am,281.7187,299.8189,292.7084,253.9291,330.775,312.0295,40.9358,350.6896,295.9722,59.4689,239.4689
Jan 2 2022 8:00 am,281.8887,300.0482,292.6216,254.0477,330.8079,312.0477,40.9334,350.6926,295.9775,59.4601,239.4601
Jan 2 2022 12:00 pm,282.0586,300.2763,292.5341,254.1663,330.8409,312.0659,40.9311,350.6956,295.9829,59.4513,239.4513
Jan 2 2022 4:00 pm,282.2286,300.5032,292.446,254.285,330.8739,312.0841,40.9288,350.6987,295.9883,59.4425,239.4425
Jan 2 2022 8:00 pm,282.3985,300.7288,292.3571,254.4037,330.9069,312.1023,40.9266,350.7017,295.9937,59.4337,239.4337
Jan 3 2022 0:00 am,282.5685,300.9531,292.2675,254.5223,330.9399,312.1206,40.9243,350.7047,295.9991,59.4248,239.4248
Jan 3 2022 4:00 am,282.7384,301.1761,292.1773,254.6411,330.973,312.1388,40.9221,350.7078,296.0045,59.416,239.416
Jan 3 2022 8:00 am,282.9084,301.3977,292.0865,254.7598,331.0062,312.1571,40.9199,350.7109,296.0099,59.4072,239.4072
Jan 3 2022 12:00 pm,283.0783,301.6179,291.995,254.8785,331.0394,312.1754,40.9178,350.714,296.0153,59.3984,239.3984
Jan 3 2022 4:00 pm,283.2483,301.8366,291.903,254.9973,331.0726,312.1937,40.9156,350.7171,296.0207,59.3896,239.3896
Jan 3 2022 8:00 pm,283.4182,302.0538,291.8103,255.116,331.1059,312.2121,40.9135,350.7202,296.0261,59.3808,239.3808
Jan 4 2022 0:00 am,283.5882,302.2695,291.7171,255.2348,331.1392,312.2304,40.9114,350.7233,296.0315,59.3719,239.3719
Jan 4 2022 4:00 am,283.7581,302.4836,291.6233,255.3536,331.1726,312.2488,40.9093,350.7265,296.0369,59.3631,239.3631
Jan 4 2022 8:00 am,283.9281,302.6961,291.5289,255.4725,331.2059,312.2672,40.9072,350.7296,296.0424,59.3543,239.3543
Jan 4 2022 12:00 pm,284.098,302.9069,291.4341,255.5913,331.2394,312.2856,40.9052,350.7328,296.0478,59.3455,239.3455
Jan 4 2022 4:00 pm,284.268,303.1159,291.3387,255.7101,331.2728,312.304,40.9032,350.736,296.0532,59.3367,239.3367
Jan 4 2022 8:00 pm,284.4379,303.3232,291.2428,255.829,331.3064,312.3224,40.9012,350.7392,296.0586,59.3278,239.3278
Jan 5 2022 0:00 am,284.6078,303.5288,291.1465,255.9479,331.3399,312.3409,40.8992,350.7424,296.064,59.319,239.319
Jan 5 2022 4:00 am,284.7778,303.7324,291.0496,256.0668,331.3735,312.3593,40.8973,350.7456,296.0695,59.3102,239.3102
