Date,Sun,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,MeanNode,SouthNode
Jan 1 2023 0:00 am,280.284,293.7019,297.3828,69.0657,1.193,322.4189,45.1476,352.8706,297.6579,40.2036,220.2036
Jan 1 2023 2:00 am,280.369,293.6588,297.4872,69.0525,1.2031,322.4272,45.1461,352.8719,297.6606,40.1992,220.1992
Jan 1 2023 4:00 am,280.4539,293.6144,297.5916,69.0393,1.2131,322.4355,45.1446,352.8732,297.6632,40.1947,220.1947
Jan 1 2023 6:00 am,280.5388,293.5687,297.696,69.0263,1.2232,322.4438,45.143,352.8746,297.6658,40.1903,220.1903
Jan 1 2023 8:00 am,280.6237,293.5216,297.8003,69.0133,1.2334,322.4522,45.1415,352.8759,297.6685,40.1859,220.1859
Jan 1 2023 10:00 am,280.7086,293.4731,297.9047,69.0004,1.2435,322.4605,45.14,352.8772,297.6711,40.1815,220.1815
Jan 1 2023 12:00 pm,280.7936,293.4232,298.0091,68.9876,1.2536,322.4689,45.1385,352.8786,297.6737,40.1771,220.1771
Jan 1 2023 2:00 pm,280.8785,293.372,298.1134,68.9749,1.2638,322.4772,45.137,352.8799,297.6764,40.1727,220.1727
Jan 1 2023 4:00 pm,280.9634,293.3195,298.2178,68.9623,1.274,322.4856,45.1355,352.8813,297.679,40.1683,220.1683
Jan 1 2023 6:00 pm,281.0483,293.2656,298.3222,68.9498,1.2842,322.494,45.134,352.8827,297.6816,40.1639,220.1639
Jan 1 2023 8:00 pm,281.1332,293.2104,298.4266,68.9374,1.2944,322.5023,45.1325,352.884,297.6843,40.1594,220.1594
Jan 1 2023 10:00 pm,281.2181,293.1538,298.5309,68.9251,1.3047,322.5107,45.131,352.8854,297.6869,40.155,220.155
Jan 2 2023 0:00 am,281.3031,293.0959,298.6353,68.9129,1.3149,322.5191,45.1295,352.8868,297.6896,40.1506,220.1506
Jan 2 2023 2:00 am,281.388,293.0367,298.7397,68.9008,1.3252,322.5275,45.1281,352.8881,297.6922,40.1462,220.1462
Jan 2 2023 4:00 am,281.4729,292.9762,298.844,68.8888,1.3355,322.5359,45.1266,352.8895,297.6949,40.1418,220.1418
Jan 2 2023 6:00 am,281.5578,292.9144,298.9484,68.8769,1.3458,322.5443,45.1251,352.8909,297.6975,40.1374,220.1374
Jan 2 2023 8:00 am,281.6427,292.8513,299.0527,68.865,1.3562,322.5527,45.1237,352.8923,297.7001,40.133,220.133
Jan 2 2023 10:00 am,281.7276,292.7869,299.1571,68.8533,1.3665,322.5611,45.1222,352.8937,297.7028,40.1286,220.1286
Jan 2 2023 12:00 pm,281.8126,292.7212,299.2614,68.8417,1.3769,322.5695,45.1208,352.8951,297.7054,40.1241,220.1241
Jan 2 2023 2:00 pm,281.8975,292.6542,299.3658,68.8301,1.3873,322.578,45.1194,352.8965,297.7081,40.1197,220.1197
